bug_id,ventus_rtl_mappable,mappability_reason,diff_detectability
000001,yes,module_exists,current_gvm
000002,yes,module_exists,current_gvm
000003,yes,module_exists,needs_probe_or_pics
000004,yes,module_exists,current_gvm
000005,partial,module_exists,current_gvm
000006,partial,module_exists,current_gvm
000007,partial,module_exists,current_gvm
000008,partial,module_exists,needs_probe_or_pics
000009,no,ai_accelerator_only,not_diff_target
000010,no,ai_accelerator_only,not_diff_target
000011,no,ai_accelerator_only,not_diff_target
000012,no,ai_accelerator_only,not_diff_target
000013,no,ai_accelerator_only,not_diff_target
000014,no,ai_accelerator_only,not_diff_target
000015,no,ai_accelerator_only,not_diff_target
000016,no,ai_accelerator_only,not_diff_target
000017,no,ai_accelerator_only,not_diff_target
000018,no,ai_accelerator_only,not_diff_target
000019,yes,module_exists,needs_probe_or_pics
000020,yes,module_exists,needs_probe_or_pics
000021,yes,module_exists,current_gvm
000022,yes,module_exists,current_gvm
000023,yes,module_exists,needs_probe_or_pics
000024,yes,module_exists,needs_probe_or_pics
000025,partial,module_exists,current_gvm
000026,yes,module_exists,current_gvm
000027,partial,module_exists,current_gvm
000028,partial,module_exists,current_gvm
000029,partial,module_exists,needs_probe_or_pics
000030,partial,module_exists,current_gvm
000031,partial,module_exists,needs_probe_or_pics
000032,partial,module_exists,needs_probe_or_pics
000033,partial,module_exists,needs_probe_or_pics
000034,partial,module_exists,needs_probe_or_pics
000035,partial,module_exists,needs_probe_or_pics
000036,partial,module_exists,needs_probe_or_pics
000037,partial,module_exists,current_gvm
000038,partial,module_exists,needs_probe_or_pics
000039,yes,module_exists,current_gvm
000040,yes,module_exists,needs_probe_or_pics
000041,no,module_absent,not_diff_target
000042,no,not_functional_behavior,not_diff_target
000043,partial,module_exists,current_gvm
000044,no,ai_accelerator_only,not_diff_target
000045,no,ai_accelerator_only,not_diff_target
000046,no,ai_accelerator_only,not_diff_target
000047,no,ai_accelerator_only,not_diff_target
000048,no,ai_accelerator_only,not_diff_target
000049,no,ai_accelerator_only,not_diff_target
000050,no,ai_accelerator_only,not_diff_target
000051,no,ai_accelerator_only,not_diff_target
000052,no,ai_accelerator_only,not_diff_target
000053,no,ai_accelerator_only,not_diff_target
000054,no,ai_accelerator_only,not_diff_target
000055,no,ai_accelerator_only,not_diff_target
000056,no,ai_accelerator_only,not_diff_target
000057,no,ai_accelerator_only,not_diff_target
000058,partial,module_exists,needs_probe_or_pics
000059,no,ai_accelerator_only,not_diff_target
000060,no,ai_accelerator_only,not_diff_target
000061,no,ai_accelerator_only,not_diff_target
000062,no,ai_accelerator_only,not_diff_target
000063,no,ai_accelerator_only,not_diff_target
000064,no,ai_accelerator_only,not_diff_target
000065,no,ai_accelerator_only,not_diff_target
000066,no,ai_accelerator_only,not_diff_target
000067,yes,module_exists,needs_probe_or_pics
000068,yes,module_exists,needs_probe_or_pics
000069,yes,module_exists,current_gvm
000070,yes,module_exists,current_gvm
000071,no,not_functional_behavior,not_diff_target
000072,no,not_functional_behavior,not_diff_target
000073,no,not_functional_behavior,not_diff_target
000074,no,not_functional_behavior,not_diff_target
000075,yes,module_exists,needs_probe_or_pics
000076,yes,module_exists,needs_probe_or_pics
000077,no,not_functional_behavior,not_diff_target
000078,no,not_functional_behavior,not_diff_target
000079,yes,module_exists,current_gvm
000080,yes,module_exists,current_gvm
000081,yes,module_exists,current_gvm
000082,yes,module_exists,current_gvm
000083,yes,module_exists,current_gvm
000084,yes,module_exists,current_gvm
000085,yes,module_exists,current_gvm
000086,partial,module_exists,needs_probe_or_pics
000087,yes,module_exists,needs_probe_or_pics
000088,yes,module_exists,needs_probe_or_pics
000089,yes,module_exists,needs_probe_or_pics
000090,yes,module_exists,needs_probe_or_pics
000091,yes,module_exists,needs_probe_or_pics
000092,yes,module_exists,needs_probe_or_pics
000093,partial,module_exists,needs_probe_or_pics
000094,partial,module_exists,needs_probe_or_pics
000095,partial,module_exists,current_gvm
000096,partial,module_exists,needs_probe_or_pics
000097,partial,module_exists,needs_probe_or_pics
000098,partial,module_exists,needs_probe_or_pics
000099,no,isa_mismatch,not_diff_target
000100,partial,module_exists,needs_probe_or_pics
000101,no,module_absent,not_diff_target
000102,partial,module_exists,current_gvm
000103,partial,module_exists,needs_probe_or_pics
000104,partial,module_exists,current_gvm
000105,partial,module_exists,current_gvm
000106,no,isa_mismatch,not_diff_target
